state,county,diff
New Hampshire,Grafton ,-6641
California,Napa ,-6575
Illinois,Champaign ,-6486
Colorado,Larimer ,-6418
Vermont,Washington ,-6282
California,Humboldt ,-6272
New Hampshire,Strafford ,-6210
Rhodes Island,Kent ,-6109
Virginia,Petersburg ,-6010
Vermont,Windsor ,-5927
Washington,Kitsap ,-5877
Texas,Harris ,-5851
Iowa,Scott ,-5838
Florida,Volusia ,-5835
Georgia,Bibb ,-5793
Virginia,Charlottesville ,-5718
Wisconsin,Eau Claire ,-5703
New Hampshire,Cheshire ,-5692
New Jersey,Cumberland ,-5667
Vermont,Windham ,-5603
Rhodes Island,Washington ,-5534
South Carolina,Charleston ,-5425
New Mexico,Dona Ana ,-5236
New Hampshire,Merrimack ,-5211
New Mexico,Taos ,-5177
Wisconsin,Portage ,-5171
Virginia,Loudoun ,-5157
Illinois,Peoria ,-5101
Pennsylvania,Monroe ,-5062
Pennsylvania,Dauphin ,-5038
Wisconsin,Brown ,-5002
Pennsylvania,Luzerne ,-4923
Indiana,LaPorte ,-4827
Illinois,Madison ,-4800
New Mexico,McKinley ,-4781
Ohio,Athens ,-4774
Ohio,Montgomery ,-4714
Wisconsin,Outagamie ,-4626
Virginia,Roanoke City ,-4577
California,Mendocino ,-4517
Wisconsin,Winnebago ,-4467
North Carolina,Edgecombe ,-4446
Minnesota,Dakota ,-4438
Missouri,Boone ,-4413
Virginia,Albemarle ,-4351
Florida,Gadsden ,-4321
Colorado,Pueblo ,-4278
Maine,Kennebec ,-4220
Rhodes Island,Newport ,-4199
Alabama,Macon ,-4012
Washington,Clark ,-3896
Pennsylvania,Centre ,-3893
Michigan,Bay ,-3875
New York,Dutchess ,-3872
Wisconsin,Douglas ,-3824
New Mexico,San Miguel ,-3783
New Mexico,Rio Arriba ,-3730
Vermont,Addison ,-3650
Vermont,Rutland ,-3605
Indiana,Tippecanoe ,-3603
Alabama,Dallas ,-3555
Arkansas,Jefferson ,-3547
Arizona,Coconino ,-3508
Maine,Androscoggin ,-3446
Indiana,Delaware ,-3445
North Carolina,Halifax ,-3405
Illinois,DeKalb ,-3368
Texas,Starr ,-3359
Wisconsin,Sauk ,-3328
Iowa,Story ,-3296
Mississippi,Washington ,-3261
Florida,Hillsborough ,-3255
California,Imperial ,-3240
Arizona,Apache ,-3234
New Mexico,Sandoval ,-3230
Indiana,Vigo ,-3194
Montana,Silver Bow ,-3189
Wisconsin,Racine ,-3188
California,Riverside ,-3179
South Carolina,Sumter ,-3173
Washington,Jefferson ,-3163
New York,Clinton ,-3128
Texas,Maverick ,-3087
Connecticut,Windham ,-3072
South Carolina,Williamsburg ,-3067
Rhodes Island,Bristol ,-3059
New York,Rockland ,-3059
Michigan,Marquette ,-3042
North Carolina,Pitt ,-3041
New York,Schenectady ,-3025
Vermont,Bennington ,-3021
Delaware,Kent ,-2926
Nebraska,Douglas ,-2848
Maine,Hancock ,-2822
Wisconsin,Grant ,-2737
North Carolina,Vance ,-2722
New Hampshire,Hillsborough ,-2707
Iowa,Clinton ,-2693
Mississippi,Holmes ,-2689
Massachusetts,Dukes ,-2640
Illinois,McHenry ,-2630
North Carolina,Robeson ,-2613
Vermont,Lamoille ,-2607
New York,Saint Lawrence ,-2583
Michigan,Isabella ,-2504
Vermont,Franklin ,-2488
New Jersey,Somerset ,-2487
Wisconsin,Marathon ,-2476
Illinois,Jackson ,-2468
Michigan,Calhoun ,-2467
Iowa,Dubuque ,-2463
Mississippi,Bolivar ,-2417
Minnesota,Winona ,-2396
Mississippi,Leflore ,-2373
Oregon,Lincoln ,-2369
Iowa,Cerro Gordo ,-2352
Illinois,LaSalle ,-2346
Colorado,Pitkin ,-2337
Colorado,Eagle ,-2330
Minnesota,Carlton ,-2323
Colorado,Summit ,-2321
Georgia,Liberty ,-2288
Ohio,Erie ,-2279
Wisconsin,Green ,-2259
Maine,Knox ,-2246
Wisconsin,Wood ,-2241
Vermont,Orange ,-2234
Indiana,Porter ,-2226
Iowa,Des Moines ,-2221
Kentucky,Fayette ,-2221
New York,Broome ,-2212
